feature,importance
num__errorBalanceOrig,0.3464582522770598
remainder__isOrigDrained,0.20828377600503095
num__oldbalanceOrg,0.10436397962668495
num__newbalanceOrig,0.08269550791427324
num__logAmount,0.05741755442371313
remainder__destTypeC,0.03897396805804144
cat__type_PAYMENT,0.03184121636427332
num__step,0.030748804296586843
cat__type_TRANSFER,0.02700512206455286
num__errorBalanceDest,0.01865857194306957
num__newbalanceDest,0.016482950822989752
cat__type_CASH_OUT,0.013429607117791599
cat__type_CASH_IN,0.0090237191519945
num__oldbalanceDest,0.00882219919376141
num__hourSin,0.004332112529488837
num__hourCos,0.0012017930496442714
cat__type_DEBIT,0.00026086516104344094
